machine_id,cycle,health_score,status,timestamp,temperature_celsius,vibration_hz,pressure_psi,rotation_rpm
MACHINE-001,1,99.9523077993223,Healthy,2025-10-21T11:33:07.565851Z,77.69,48.8,97.96,1537.38
MACHINE-001,2,99.90606486178507,Healthy,2025-10-21T11:33:07.565851Z,78.64,54.69,97.92,1499.81
MACHINE-001,3,99.85346540300802,Healthy,2025-10-21T11:33:07.565851Z,82.64,44.32,98.19,1554.88
MACHINE-001,4,99.80731002213693,Healthy,2025-10-21T11:33:07.565851Z,78.76,43.04,101.64,1473.54
MACHINE-001,5,99.75190273384163,Healthy,2025-10-21T11:33:07.565851Z,75.65,46.4,94.83,1487.3
MACHINE-001,6,99.71019123373121,Healthy,2025-10-21T11:33:07.565851Z,79.38,42.13,103.08,1587.96
MACHINE-001,7,99.65126720570558,Healthy,2025-10-21T11:33:07.565851Z,79.9,48.93,93.43,1427.58
MACHINE-001,8,99.60733454495929,Healthy,2025-10-21T11:33:07.565851Z,77.16,55.7,97.73,1415.21
MACHINE-001,9,99.55747499362062,Healthy,2025-10-21T11:33:07.565851Z,84.47,56.98,97.84,1451.07
MACHINE-001,10,99.51081667394965,Healthy,2025-10-21T11:33:07.565851Z,77.48,54.63,104.39,1518.42
MACHINE-001,11,99.47068494090841,Healthy,2025-10-21T11:33:07.565851Z,81.09,47.29,106.9,1572.8
MACHINE-001,12,99.41621372476266,Healthy,2025-10-21T11:33:07.565851Z,79.68,45.84,100.59,1523.14
MACHINE-001,13,99.37556332566574,Healthy,2025-10-21T11:33:07.565851Z,82.46,52.66,105.15,1566.52
MACHINE-001,14,99.32374049514841,Healthy,2025-10-21T11:33:07.565851Z,82.71,46.56,98.23,1526.47
MACHINE-001,15,99.27344179068677,Healthy,2025-10-21T11:33:07.565851Z,78.53,61.45,99.79,1457.76
MACHINE-001,16,99.23115947249813,Healthy,2025-10-21T11:33:07.565851Z,82.59,54.36,99.41,1520.54
MACHINE-001,17,99.18803968627981,Healthy,2025-10-21T11:33:07.565851Z,82.29,56.04,95.67,1513.4
MACHINE-001,18,99.1320314832517,Healthy,2025-10-21T11:33:07.565851Z,80.71,54.86,101.57,1548.03
MACHINE-001,19,99.07372622044845,Healthy,2025-10-21T11:33:07.566847Z,81.69,45.44,101.05,1496.68
MACHINE-001,20,99.01967264377164,Healthy,2025-10-21T11:33:07.566847Z,80.99,48.36,95.18,1476.98
MACHINE-001,21,98.96937545923967,Healthy,2025-10-21T11:33:07.566847Z,78.97,59.17,99.4,1518.75
MACHINE-001,22,98.9256521174451,Healthy,2025-10-21T11:33:07.566847Z,83.86,59.51,102.92,1526.95
MACHINE-001,23,98.88498734730946,Healthy,2025-10-21T11:33:07.566847Z,83.45,52.85,98.55,1476.11
MACHINE-001,24,98.84349004247926,Healthy,2025-10-21T11:33:07.566847Z,80.42,60.0,102.09,1538.97
MACHINE-001,25,98.7976386603346,Healthy,2025-10-21T11:33:07.566847Z,78.85,48.54,98.37,1481.69
MACHINE-001,26,98.75057321010217,Healthy,2025-10-21T11:33:07.566847Z,78.0,51.45,98.92,1493.31
